id,room_type,n_beds,n_baths,is_bath_shared,bnb_house
457,1 bedroom,1,,False,353317
458,1 bedroom,1,,True,470330
459,1 bedroom,1,,True,355106
460,1 bedroom,1,1,False,470498
461,3 bedrooms,3,2,False,471758
462,3 bedrooms,3,2,False,355563
463,2 bedrooms,2,1,False,471845
464,2 bedrooms,2,1,False,363016
465,1 bedroom,1,,True,476841
466,2 bedrooms,2,,True,367810
467,1 bedroom,1,1.5,False,476983
468,1 bedroom,1,,True,373618
469,1 bedroom,1,,True,478053
470,2 bedrooms,2,1,False,478832
471,2 bedrooms,2,1,False,378460
472,1 bedroom,1,1,False,479285
473,1 bedroom,1,1,False,380416
474,1 bedroom,1,1,False,380730
475,1 bedroom,1,,True,483414
476,1 bedroom,1,1,False,385657
477,5 bedrooms,5,4.5,False,484297
478,2 bedrooms,2,1,False,385824
479,3 bedrooms,3,2.5,False,484312
480,1 bedroom,1,,True,386744
481,1 bedroom,1,1,False,484728
482,1 bedroom,1,1,False,386799
483,1 bedroom,1,1,False,489018
484,2 bedrooms,2,,True,387666
485,1 bedroom,1,1,False,389482
486,1 bedroom,1,1,False,490278
487,1 bedroom,1,,True,392948
488,1 bedroom,1,,True,491123
489,1 bedroom,1,2,False,394111
490,3 bedrooms,3,2,False,491529
491,Studio,1,1,False,396636
492,1 bedroom,1,1,False,397034
493,1 bedroom,1,1,False,492785
494,2 bedrooms,2,1,False,492810
495,1 bedroom,1,1,False,400039
496,1 bedroom,1,1,False,494296
497,1 bedroom,1,1,False,403668
498,1 bedroom,1,,True,495249
499,1 bedroom,1,1,False,403712
500,4 bedrooms,4,2.5,False,496166
501,1 bedroom,1,1,False,404923
502,1 bedroom,1,,True,498052
503,1 bedroom,1,1,False,408491
504,1 bedroom,1,0,False,499249
505,1 bedroom,1,1,False,408983
506,2 bedrooms,2,1,False,409262
507,1 bedroom,1,1,False,409666
508,1 bedroom,1,1.5,False,500886
509,3 bedrooms,3,1,False,411918
510,2 bedrooms,2,,True,503460
511,1 bedroom,1,1,False,504322
512,1 bedroom,1,1,False,512022
513,2 bedrooms,2,1,False,504362
514,1 bedroom,1,1,False,504437
515,1 bedroom,1,1,False,513343
516,1 bedroom,1,0,False,505231
517,1 bedroom,1,,True,505315
518,3 bedrooms,3,2,False,513688
519,1 bedroom,1,1,False,505581
520,1 bedroom,1,1,False,514548
521,1 bedroom,1,,True,507393
522,1 bedroom,1,0,False,511960
523,2 bedrooms,2,1,False,517654
524,1 bedroom,1,,True,518566
525,2 bedrooms,2,1,False,611009
526,3 bedrooms,3,1.5,False,518576
527,1 bedroom,1,,True,611156
528,1 bedroom,1,,True,519310
529,1 bedroom,1,1,False,613528
530,1 bedroom,1,1,False,521018
531,1 bedroom,1,1,False,614269
532,1 bedroom,1,1,False,521522
533,4 bedrooms,4,2,False,523123
534,2 bedrooms,2,1,False,616249
535,Studio,0,1,False,524111
536,2 bedrooms,2,2,False,618916
537,1 bedroom,1,,True,619144
538,1 bedroom,1,,True,525523
539,1 bedroom,1,1,False,622410
540,1 bedroom,1,,True,526942
541,2 bedrooms,2,1,False,624222
542,1 bedroom,1,,True,528485
543,1 bedroom,1,1,False,528615
544,2 bedrooms,2,1.5,False,627949
545,1 bedroom,1,1,False,530431
546,1 bedroom,1,1,False,628078
547,1 bedroom,1,0,False,629774
548,2 bedrooms,2,,True,530576
549,1 bedroom,1,,True,629855
550,2 bedrooms,2,1,False,634353
551,1 bedroom,1,,True,531091
552,1 bedroom,1,1,False,637426
553,1 bedroom,1,1,False,531258
554,1 bedroom,1,1,False,638894
555,1 bedroom,1,1,False,531455
556,4 bedrooms,4,4.5,False,639199
557,1 bedroom,1,1,False,532288
558,1 bedroom,1,0,False,640899
559,1 bedroom,1,3,False,640901
560,1 bedroom,1,,True,640908
561,1 bedroom,1,,True,640990
562,2 bedrooms,2,1,False,533168
563,1 bedroom,1,,True,536578
564,1 bedroom,1,1,False,641768
565,1 bedroom,1,1,False,538344
566,1 bedroom,1,1,False,642682
567,1 bedroom,1,1,False,538465
568,1 bedroom,1,1,False,643591
569,1 bedroom,1,,False,538590
570,1 bedroom,1,,True,643948
571,1 bedroom,1,1,False,644575
572,2 bedrooms,2,1,False,540057
573,1 bedroom,1,,True,645075
574,1 bedroom,1,1,False,541725
575,1 bedroom,1,,True,645693
576,Studio,3,1,False,543792
577,1 bedroom,1,1,False,645922
578,1 bedroom,1,1,False,645942
579,2 bedrooms,2,1,False,544039
580,1 bedroom,1,1,False,544331
581,1 bedroom,1,,True,646458
582,1 bedroom,1,,False,545261
583,1 bedroom,1,1,False,647580
584,2 bedrooms,2,,True,545651
585,1 bedroom,1,1,False,649561
586,1 bedroom,1,1,False,649972
587,1 bedroom,1,1,False,548184
588,2 bedrooms,2,2,False,651375
589,1 bedroom,1,1,False,549873
590,1 bedroom,1,1,False,651438
591,1 bedroom,1,,True,550653
592,1 bedroom,1,0,False,654232
593,1 bedroom,1,1,False,655472
594,1 bedroom,1,,True,656281
595,2 bedrooms,2,1,False,657198
596,2 bedrooms,2,2,False,550858
597,1 bedroom,1,,False,552502
598,2 bedrooms,2,1,False,657727
599,1 bedroom,1,,True,658932
600,Studio,1,1,False,659952
601,2 bedrooms,2,1,False,552519
