,Unnamed: 0,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
3814,70565,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2384,19,,A5,"193 MERRYMOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3040.0,1360.0,1970.0,1,A5,245995,2023-06-01,"40.5889203,-74.1600303"
3815,70566,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2386,5,,A5,"313 MERRYMOUNT STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2470.0,2248.0,1982.0,1,A5,0,2023-06-22,"40.5864564,-74.16248449999999"
3816,70567,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2386,54,,A5,"132 VASSAR STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2470.0,2248.0,1982.0,1,A5,830000,2023-10-04,"40.58729450000001,-74.1612117"
3817,70568,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2389,113,,A5,"274 TRAVIS AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3375.0,1362.0,1980.0,1,A5,10,2023-05-24,"40.5868899,-74.152045"
3818,70569,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2389,133,,A5,"170 TRAVIS AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3105.0,1362.0,1980.0,1,A5,0,2022-12-20,"40.5864282,-74.1510283"
3819,70570,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2390,204,,A5,"20 LILLIE LANE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,840.0,1448.0,1993.0,1,A5,520000,2023-01-12,"40.5842152,-74.1499578"
3820,70571,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2390,316,,A5,"14 LILLIE LANE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1680.0,1648.0,1993.0,1,A5,575000,2023-09-22,"40.5843025,-74.15010579999999"
3821,70572,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2390,358,,A5,"93 LEWISTON STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3128.0,1768.0,1980.0,1,A5,0,2023-05-26,"40.5855688,-74.1493883"
3822,70573,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2390,594,,A5,"48 SHALE STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,2200.0,1547.0,1975.0,1,A5,0,2023-01-28,"40.5840045,-74.1510053"
3823,70574,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2391,142,,A5,"57 SHALE STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,1600.0,1400.0,1992.0,1,A5,620000,2023-03-14,"40.5836416,-74.15076549999999"
3824,70575,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2391,145,,A5,"55 SHALE STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3100.0,1300.0,1992.0,1,A5,754500,2023-03-13,"40.5837124,-74.15069679999999"
3825,70576,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2392,132,,A5,"410 KLONDIKE AVENUE, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,3060.0,2200.0,1981.0,1,A5,310000,2023-07-21,"40.5853164,-74.1509021"
3826,70577,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2393,109,,A1,"68 BANGOR STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4100.0,2284.0,1975.0,1,A1,0,2023-05-16,"40.5851666,-74.1539755"
3827,70578,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2393,109,,A1,"68 BANGOR STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4100.0,2284.0,1975.0,1,A1,910000,2023-01-31,"40.5851666,-74.1539755"
3828,70579,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2394,70,,A1,"162 KELLY BOULEVARD, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4000.0,2210.0,1970.0,1,A1,765000,2023-02-27,"40.58615349999999,-74.1552141"
3829,70580,STATEN ISLAND,NEW SPRINGVILLE,01 ONE FAMILY DWELLINGS,1,2395,54,,A1,"21 COPLEY STREET, NYC, STATEN ISLAND",,10314.0,1.0,0.0,1.0,4400.0,2280.0,1970.0,1,A1,700000,2023-03-13,"40.5872766,-74.1552141"
