id,price,minimum_nights,rent
919,60,30,919
920,83,30,920
921,100,30,921
922,125,30,922
923,60,30,923
924,154,30,924
925,167,30,925
926,96,30,926
927,80,30,927
928,129,30,928
929,75,30,929
930,150,30,930
931,150,30,931
932,75,30,932
933,98,30,933
934,83,30,934
935,425,30,935
936,100,30,936
937,300,30,937
938,69,30,938
939,125,30,939
940,55,30,940
941,228,30,941
942,65,30,942
943,80,30,943
944,789,30,944
945,85,30,945
946,350,30,946
947,133,30,947
948,165,30,948
949,173,30,949
950,99,30,950
951,217,30,951
952,100,30,952
953,72,30,953
954,170,30,954
955,49,30,955
956,160,30,956
957,85,30,957
958,110,30,958
959,156,30,959
960,145,30,960
961,165,30,961
962,60,60,962
963,72,30,963
964,55,90,964
965,119,30,965
966,200,30,966
967,150,30,967
968,104,30,968
969,109,30,969
970,100,185,970
971,130,30,971
972,75,30,972
973,107,30,973
974,300,30,974
975,50,30,975
976,75,30,976
977,126,30,977
978,111,30,978
979,111,30,979
980,210,30,980
981,169,30,981
982,380,30,982
983,87,30,983
984,100,180,984
985,139,30,985
986,165,30,986
987,230,30,987
988,350,30,988
989,200,30,989
990,1000,30,990
991,60,30,991
992,169,30,992
993,138,30,993
994,175,30,994
995,180,30,995
996,1364,30,996
997,63,30,997
998,349,30,998
999,105,30,999
1000,150,2,1000
1001,100,365,1001
1002,215,30,1002
1003,175,30,1003
1004,226,30,1004
1005,220,30,1005
1006,189,30,1006
1007,300,30,1007
1008,315,30,1008
1009,50,30,1009
1010,92,30,1010
1011,110,90,1011
1012,125,56,1012
1013,55,30,1013
1014,60,30,1014
1015,375,30,1015
1016,175,30,1016
1017,90,30,1017
1018,1000,30,1018
1019,150,30,1019
1020,101,30,1020
1021,35,30,1021
1022,147,30,1022
1023,275,30,1023
1024,127,30,1024
1025,190,30,1025
1026,70,30,1026
1027,95,30,1027
1028,175,30,1028
1029,125,30,1029
1030,89,30,1030
1031,150,30,1031
1032,60,30,1032
1033,95,30,1033
1034,80,30,1034
1035,65,30,1035
1036,115,30,1036
1037,200,30,1037
1038,180,30,1038
1039,75,30,1039
1040,75,30,1040
1041,86,30,1041
1042,95,30,1042
1043,75,30,1043
1044,99,30,1044
1045,115,30,1045
1046,297,90,1046
1047,119,30,1047
1048,75,30,1048
1049,270,30,1049
1050,99,30,1050
1051,85,30,1051
1052,75,30,1052
1053,150,30,1053
1054,190,30,1054
1055,175,30,1055
1056,332,1,1056
1057,90,30,1057
1058,371,30,1058
1059,350,30,1059
1060,270,30,1060
1061,116,30,1061
1062,100,30,1062
1063,110,30,1063
1064,175,30,1064
1065,86,30,1065
1066,145,30,1066
1067,60,30,1067
1068,72,30,1068
1069,75,30,1069
1070,126,30,1070
1071,75,30,1071
1072,135,30,1072
1073,150,30,1073
1074,140,31,1074
1075,78,30,1075
1076,168,30,1076
1077,55,30,1077
1078,150,30,1078
1079,125,30,1079
1080,150,30,1080
1081,192,32,1081
1082,289,30,1082
1083,85,30,1083
1084,250,30,1084
1085,65,30,1085
1086,78,30,1086
1087,545,30,1087
1088,295,30,1088
1089,199,30,1089
