BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,6,,B2,"320 BEACH 47TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,2805.0,2234.0,2004.0,1,B2,815000,2022-12-01,"40.59416,-73.777807"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,,B9,"302 BEACH 47TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,4481.0,2160.0,1960.0,1,B9,0,2023-08-10,"40.593647,-73.77774889999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15838,70,,B9,"302 BEACH 47TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,4481.0,2160.0,1960.0,1,B9,390000,2023-02-27,"40.593647,-73.77774889999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15839,6,,B2,"322 BEACH 48TH STREET, NYC, QUEENS",,11691.0,2.0,0.0,2.0,951.0,2310.0,2005.0,1,B2,585494,2023-03-22,"40.5940837,-73.7787084"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,1,,B2,"156 BEACH 60TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2775.0,2386.0,1960.0,1,B2,1184181,2023-11-22,"40.59081159999999,-73.7893654"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15902,15,,B1,"188 BEACH 60TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,4241.0,2052.0,2000.0,1,B1,0,2023-02-28,"40.5916662,-73.7894056"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15904,25,,B9,"187 BEACH 61ST STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2364.0,1729.0,1955.0,1,B9,0,2023-02-06,"40.5914692,-73.7906528"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,6,,B2,"63-10 BEACH FRONT ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3542.0,3084.0,2014.0,1,B2,0,2023-04-23,"40.5884312,-73.79228359999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,35,,B2,"6206 OCEAN AVENUE SOUTH, NYC, QUEENS",,11692.0,2.0,0.0,2.0,6200.0,3357.0,2014.0,1,B2,0,2022-12-28,"40.5889781,-73.7914491"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,59,,B2,"162 SEA GRASS LANE, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3226.0,2515.0,2014.0,1,B2,885000,2023-10-04,"40.5901585,-73.79216439999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,174,,B2,"64-15 OCEAN AVENUE NORTH, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2120.0,3018.0,2014.0,1,B2,0,2023-02-06,"40.5898512,-73.7934855"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,250,,B2,"6516 SEASPRAY AVE, NYC, QUEENS",,11692.0,2.0,0.0,2.0,5223.0,2908.0,2011.0,1,B2,1148000,2023-09-12,"40.5889923,-73.7946218"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,255,,B2,"66-04 SEASPRAY AVENUE, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2143.0,2908.0,2011.0,1,B2,1100000,2023-08-04,"40.5887956,-73.7949646"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15905,298,,B2,"65-10 BEACH FRONT ROAD, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3542.0,3084.0,2014.0,1,B2,1320000,2023-09-28,"40.5882527,-73.7941852"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,35,,B2,"338 BEACH 66TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,2700.0,1864.0,1950.0,1,B2,0,2023-11-08,"40.5923318,-73.7948447"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15910,37,,B2,"340 BEACH 66TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,3000.0,1864.0,1950.0,1,B2,0,2023-11-09,"40.5924054,-73.79488309999999"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,1,15913,74,,B2,"333 BEACH 66TH STREET, NYC, QUEENS",,11692.0,2.0,0.0,2.0,4000.0,1904.0,1920.0,1,B2,0,2023-04-18,"40.5925629,-73.7953801"
