BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,TEMP_CORD
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1642,12,,A9,"684 MONROE STREET, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,2500.0,2376.0,1899.0,1,A9,960000,2023-02-08,"40.6877606,-73.9293919"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,4,1642,24,,V1,"708 MONROE STREET, NYC, BROOKLYN",,11221.0,0.0,0.0,0.0,2042.0,0.0,1899.0,1,A9,999000,2023-06-07,"40.687863,-73.92841589999999"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1642,30,,A5,"714A MONROE STREET, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,1425.0,1377.0,1899.0,1,A5,0,2023-10-02,"40.6878945,-73.92809439999999"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1642,42,,S1,"114 PATCHEN AVE, NYC, BROOKLYN",,11221.0,1.0,1.0,2.0,1440.0,2372.0,1899.0,1,S1,850000,2023-07-03,"40.6878701,-73.9272448"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1647,17,,A9,"724 MADISON STREET, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,2000.0,1400.0,1899.0,1,A9,1390000,2023-10-11,"40.6870194,-73.9290704"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1647,20,,A9,"730 MADISON STREET, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,2000.0,1260.0,1899.0,1,A9,0,2023-02-01,"40.6870429,-73.92873569999999"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1648,67,,A5,"891 PUTNAM AVENUE, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,1875.0,2250.0,1901.0,1,A5,10000,2022-12-12,"40.6870388,-73.9254766"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1652,36,,A4,"862 PUTNAM AVENUE, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,2000.0,1780.0,1899.0,1,A4,0,2022-12-22,"40.6865004,-73.9273252"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1654,73,,A4,"455 HANCOCK STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,1800.0,2571.0,1899.0,1,A4,2100000,2023-09-14,"40.6841704,-73.9375763"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1656,17,,A5,"654 JEFFERSON AVENUE, NYC, BROOKLYN",,11221.0,1.0,0.0,1.0,3483.0,1684.0,1901.0,1,A5,1400000,2023-08-23,"40.68523769999999,-73.93152599999999"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1673,89,,A4,"513 MAC DONOUGH STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,1800.0,2328.0,1901.0,1,A4,2050000,2023-04-18,"40.6833169,-73.9253848"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1676,48,,A5,"371 DECATUR STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,1667.0,2172.0,1899.0,1,A5,1955000,2023-11-09,"40.6821275,-73.9291047"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1678,43,,A4,"574 MAC DONOUGH STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,1833.0,2392.0,1899.0,1,A4,1300000,2023-03-22,"40.6831358,-73.9235707"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1682,16,,A5,"378 DECATUR STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,2000.0,2475.0,1899.0,1,A5,1935000,2023-10-06,"40.6819003,-73.9280828"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1683,78,,A9,"297 BAINBRIDGE STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,2025.0,1288.0,1899.0,1,A9,520000,2023-04-24,"40.6819084,-73.92473110000002"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1703,70,,A5,"793 HERKIMER STREET, NYC, BROOKLYN",,11233.0,1.0,0.0,1.0,1404.0,2352.0,1899.0,1,A5,0,2022-12-30,"40.678609,-73.9269755"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,1,1706,39,,A5,"30 JEWELL MCKOY LANE, NYC, BROOKLYN",,11213.0,1.0,0.0,1.0,2173.0,1452.0,1985.0,1,A5,940000,2023-09-11,"40.6782431,-73.93417529999999"
